Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
34000000000;160;22900000000;1000000000;15000000000
34000000000;9;250000000;0;
34000000000;27;14370000000;0;12000000000
34016999424;65;33020000384;721000000;32490000384
34090000384;180;24736999424;468000000;20512999424
34126999552;101;37705001472;0;34671001600
34925998080;572;33108000256;2903000064;24707000320
35000000000;60;26800000000;7200000000;25000000000
35000000000;2100;28000000000;5700000000;3500000000
35000000000;600;18960000000;0;12000000000
35000000000;550;23860000000;1400000000;750000000
35000000000;100;29060000000;2000000000;25000000000
35000000000;400;13500000000;3800000000;3000000000
35000000000;65;27165000000;1500000000;24000000000
35000000000;350;33888098657;300000000;27362197371
35000000000;35;27530000000;900000000;24000000000
35000000000;141;49001000000;0;21000000000
35000000000;75;7242000000;0;
35000000000;71;22560000000;1500000000;20400000000
35000000000;1300;31000000000;0;5000000000
35000000000;200;3500000000;20000000000;
35292000256;323;27189999104;2190000000;19261999104
35344998400;82;33132999680;546000000;31804999680
35411001344;676;27272999936;3200999936;17272999936
35545001984;96;30405999616;217000000;29077999616
35576000512;476;31077000192;141000000;22919000064
35760000000;10;912000000;121000000;
35999997952;495;27519998976;21699999744;21519998976
36000000000;33;2084000000;0;
36000000000;35;26700000000;0;24000000000
36000000000;121;19560000000;3000000000;15000000000
36000000000;20;8010000000;2000000000;
36000000000;200;26630000000;1080000000;21600000000
36000000000;300;33000000000;0;12000000000
36030000000;300;6300000000;6000000000;
36100001792;80;29000000768;9752000000;27700000768
36170498048;619;31057999360;371000000;26912999424
36171001856;827;19306999808;829000000;7246000128
36323999744;437;31226999808;0;26378999808
36677001216;785;30296000000;0;24561999872
36899000320;225;27072000000;1850000000;22215000064
37000000000;110;26580000000;0;21000000000
37000000000;110;35000000000;3200000000;28000000000
37000000000;25;40330000000;900000000;35000000000
37000000000;175;34275000000;800000000;20000000000
37000000000;16;36170000000;1200000000;35000000000
37000000000;110;24720000000;2000000000;20000000000
37135998976;36;30150999296;1950000000;29330999296
37219999744;39;27536000256;112000000;25667000320
37349998592;180;25763000064;800000000;23143000064
37553000448;1400;31681999872;3995000064;14593999872
37810999296;95;25026000384;3519000064;22456000512
38000000000;30;1372000000;250000000;
38000000000;274;6000000000;0;0
38000000000;18;5300000000;0;
38000000000;0;42000000000;1800000000;33000000000
38000001024;160;22761999488;500000000;20999999488
38000001024;315;25602999296;5400000000;18909999104
38045999104;59;25876999168;2050000000;24676999168
38050000896;109;36282999296;526000000;34411999232
38443999232;41;38598701056;0;38000001024
38499999744;270;28875999744;586000000;24771999744
38600000000;6;65000000;0;
38711001088;1500;27532000256;14365000192;15532000256
39025999872;285;28375999488;0;25305999360
39027998720;454;45295000064;6906999808;42823000064
39054999552;472;33307000320;0;29073000448
39672999936;412;22349000192;8217999872;15214000128
40000000000;50;6500000000;200000000;
40000000000;120;23600000000;0;600000000
40000000000;103;1700000000;3000000000;
40000000000;100;35500000000;150000000;31000000000
40000000000;120;38240000000;0;20000000000
40000000000;100;22720000000;0;12000000000
40000000000;51;32534000000;0;30000000000
